itemLink,productImageLink,name,brand,flavor,vgpg,nic,size
https://vapegateae.com/collections/all-e-liquids/products/pineapple-kiwi-ice-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-pineapple-kiwi-ice-vape-abudhabi-dubai-uae_300x300.png?v=1689059419,PINEAPPLE KIWI ICE - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"pineapple, kiwi, ice",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/the-plume-room-banana-pudding-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/2ThePlumeRoomBananaPudding_300x300.jpg?v=1635239410,The Plume Room Banana Pudding - 60ml E liquid by Five Pawns California,Five Pawns California,"vanilla, cream, banana",['50/50'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/kingside-tobacco-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/3-Juices---Five-Pawns-3_02_300x300.png?v=1617806167,Kingside Tobacco - 60ml E liquid by Five Pawns California,Five Pawns California,"barley, dry tobacco",['70/30'],"[3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/apple-peach-strawberry-i-love-salts-mad-hatter-juice,//vapegateae.com/cdn/shop/files/MAD-HATTER-ELIQUID-APPLE-PEACH-STRAWBERRY-ABUDHABI-DUBAI-UAE-copy_300x300.png?v=1687958465,Apple Peach Strawberry -  I Love Salts /Mad Hatter Juice,Mad Hatter- I Love Salts,"strawberry, apple, peach",['70/30'],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/poet-grandmas-lemon-cake-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/files/five-pawns-poet-eliquid-grandmas-lemon-cake-vape-abudhabi-dubai-uae_300x300.png?v=1689059516,Poet - Grandma's Lemon Cake - 60ml E liquid by Five Pawns California,Five Pawns California,"lemon, custard",['50/50'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/melon-mash-ice-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-melon-mash-ice-vape-abudhabi-dubai-uae_300x300.png?v=1688978603,MELON MASH ICE - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"watermelon, honey melon, cantaloupe, ice",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/mango-passion-ice-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-mango-passion-ice-vape-abudhabi-dubai-uae_300x300.png?v=1688978579,MANGO PASSION ICE- ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"mango, passionfruit, ice",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/melon-mash-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-melon-mash-vape-abudhabi-dubai-uae_300x300.png?v=1688978520,MELON MASH - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"watermelon, honey melon, cantaloupe",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/mango-passion-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-mango-passion-vape-abudhabi-dubai-uae_300x300.png?v=1688978433,MANGO PASSION - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"mango, passionfruit",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/pineapple-kiwi-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-pineapple-kiwi-vape-abudhabi-dubai-uae_300x300.png?v=1688978927,PINEAPPLE KIWI - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"pineapple, kiwi",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/nana-berry-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-nana-berry-vape-abudhabi-dubai-uae_300x300.png?v=1688978671,NANA BERRY - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"banana, strawberry",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/grandmaster-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/3_8_300x300.jpg?v=1615277955,Grandmaster - 60ml E liquid by Five Pawns California,Five Pawns California,"peanut butter, banana, caramel",['50/50'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/nana-berry-ice-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-nana-berry-ice-vape-abudhabi-dubai-uae_300x300.png?v=1688978755,NANA BERRY ICE- ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"banana, strawberry, ice",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/castle-long-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/1_16_300x300.jpg?v=1615125865,Castle Long - 60ml E liquid by Five Pawns California,Five Pawns California,"coconut, almond, vanilla, bourbon",['50/50'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/berry-limeade-ice-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-berry-limeade-ice-vape-abudhabi-dubai-uae_300x300.png?v=1688978241,BERRY LIMEADE ICE - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"blackberry, blueberry, raspberry, lime, ice",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/berry-limeade-orchard-blend-fruit-60ml-eliquid-by-five-pawns,//vapegateae.com/cdn/shop/files/five-pawns-orchard-blend-eliquid-berry-limeade-vape-abudhabi-dubai-uae_300x300.png?v=1688978210,BERRY LIMEADE - ORCHARD BLEND FRUIT 60ML ELIQUID BY FIVE PAWNS,Five Pawns California,"blackberry, blueberry, raspberry, lime",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/gambit-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/Gambit_-_Five_Pawns_60ml_300x300.jpg?v=1612773849,Gambit - 60ml E liquid by Five Pawns California,Five Pawns California,"apple, vanilla, caramel, spice & crumb",['50/50'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/district-one21-black-water-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/files/five-pawns-district-one-21-eliquid-black-water-vape-abudhabi-dubai-uae_300x300.png?v=1688978408,District One21 Black Water - 60ml E liquid by Five Pawns California,Five Pawns California,"cream, coffee, cannoli",['70/30'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/black-flag-risen-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/2_8_300x300.jpg?v=1614420973,Black Flag Risen - 60ml E liquid by Five Pawns California,Five Pawns California,"cappuccino, tobacco, vanilla, cocoa, walnuts",['50/50'],"[0, 3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/elo-tobacco-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/3-Juices---Five-Pawns-3_03_300x300.png?v=1617806206,Elo Tobacco - 60ml E liquid by Five Pawns California,Five Pawns California,"lime, caramel, tobacco",['70/30'],"[3, 6, 12]","[10, 60]"
https://vapegateae.com/collections/all-e-liquids/products/bowdens-mate-60ml-e-liquid-by-five-pawns-california,//vapegateae.com/cdn/shop/products/bowden-s-mate-60ml-five-pawns_300x300.jpg?v=1612773497,Bowden's Mate - 60ml E liquid by Five Pawns California,Five Pawns California,"mint, vanilla, chocolate",['50/50'],"[0, 3, 6, 12]","[10, 60]"
